-1.00E-08	-2.46E+00	-1.00E-08	-2.46E+00
-9.30E-09	-2.30E+00	-1.00E-08	-2.30E+00
-5.64E-09	-2.14E+00	-1.00E-08	-2.14E+00
-3.33E-09	-1.98E+00	-9.75E-09	-1.98E+00
-1.98E-09	-1.83E+00	-5.64E-09	-1.83E+00
-1.04E-09	-1.67E+00	-1.65E-09	-1.67E+00
-2.24E-10	-1.51E+00	-9.52E-10	-1.51E+00
-4.61E-11	-1.35E+00	-2.39E-10	-1.35E+00
1.30E-12	-1.19E+00	-1.32E-10	-1.19E+00
6.76E-12	-1.03E+00	-2.46E-11	-1.03E+00
7.75E-12	-8.73E-01	7.61E-13	-8.73E-01
7.72E-12	-7.14E-01	4.37E-12	-7.14E-01
7.66E-12	-5.56E-01	5.85E-12	-5.56E-01
7.54E-12	-3.97E-01	5.92E-12	-3.97E-01
7.60E-12	-2.38E-01	6.14E-12	-2.38E-01
7.56E-12	-7.94E-02	5.92E-12	-7.94E-02
7.36E-12	7.94E-02	6.18E-12	7.94E-02
7.35E-12	2.38E-01	6.15E-12	2.38E-01
7.16E-12	3.97E-01	6.07E-12	3.97E-01
7.40E-12	5.56E-01	6.27E-12	5.56E-01
7.28E-12	7.14E-01	6.00E-12	7.14E-01
7.25E-12	8.73E-01	6.99E-12	8.73E-01
7.46E-12	1.03E+00	7.23E-12	1.03E+00
6.99E-12	1.19E+00	7.42E-12	1.19E+00
7.22E-12	1.35E+00	7.74E-12	1.35E+00
7.33E-12	1.51E+00	8.33E-12	1.51E+00
7.22E-12	1.67E+00	8.44E-12	1.67E+00
7.56E-12	1.83E+00	9.73E-12	1.83E+00
7.58E-12	1.98E+00	8.29E-12	1.98E+00
7.38E-12	2.14E+00	8.53E-12	2.14E+00
7.37E-12	2.30E+00	8.43E-12	2.30E+00
7.76E-12	2.46E+00	8.44E-12	2.46E+00
8.01E-12	2.62E+00	9.31E-12	2.62E+00
8.82E-12	2.78E+00	1.11E-11	2.78E+00
1.03E-11	2.94E+00	1.13E-11	2.94E+00
1.04E-11	3.10E+00	1.30E-11	3.10E+00
1.03E-11	3.25E+00	1.33E-11	3.25E+00
1.04E-11	3.41E+00	2.78E-11	3.41E+00
1.45E-11	3.57E+00	3.48E-11	3.57E+00
2.13E-11	3.73E+00	4.42E-11	3.73E+00
2.82E-11	3.89E+00	5.05E-11	3.89E+00
4.13E-11	4.05E+00	8.51E-11	4.05E+00
9.40E-11	4.21E+00	1.06E-10	4.21E+00
1.06E-10	4.37E+00	1.46E-10	4.37E+00
1.30E-10	4.52E+00	2.13E-10	4.52E+00
2.14E-10	4.68E+00	2.79E-10	4.68E+00
3.25E-10	4.84E+00	3.77E-10	4.84E+00
3.08E-10	5.00E+00	3.23E-10	5.00E+00
